,nickname,id,twit
0,"boybelekoy11 I | ""V2""",boybelekoy111,#Airdrop #LSD #Galxe
1,Shroom LabTH,LSD_LebelTH,"LSD Labทวิตเก่าบินเครดิตในไลน์แน่นๆสนใจสั่งจิ้มhttp://line.me/ti/p/-cXK-_ShFQ
-LSD 359ug
-ดอกเห็ด GT/APE G/120฿,แบบช็อกโกแลต
-DMT Gละ1,900฿ยินดีให้คำปรึกษามือใหม่อยากประสบการณ์เรื่อง trip LineID:stonergh#dmt #acid #lsd #shrooms #เห็ดเมา #เห็ดเมากรุงเทพ #แคปชั่น #แคปชั่นเด็ด"
2,Nrl Atiqh ,Atiqh22,#Airdrop #LSD #Galxe
3,Bitget 台灣 | KCGI 王者盃全球邀請賽 ,bitgettw,"AMA倒數一小時
提前佈局 #LSD 賽道，掌握機會
 8月17日17:00

 LSD 是否一片紅海？LSDFi 還有哪些新機會？

 參加就有機會瓜分 310 BGB 獎池

 嘉賓：
@Bitkevin1
@StecoinZhang
@Momoxu7
@0xzeroooo
 收聽入口：https://twitter.com/i/spaces/1vAxRAOwwBrJl…"
4,Web3 Billgates,web3_billgates,"Surely it's time of #LSD

But I rather choose another low-cap to ape in. Could you take a look and make a review of @SableFinance? Found the interesting strategy from this threadoor but don't know how to interact?

Anyway, I already bought some $SABLE"
5,"mario_super (,)",supermario_web,"Have you taken a look at @SableFinance?

- Innovative LSD with low-cap potential 
- $BNB over-collateralized destablecoin 
- $BNB (and $ETH LSD) backed destablecoin $USDS
- 0 borrowing fee
- Sable Rush program with $100K incentive ongoing

#LSD #Defi"
6,"mario_super (,)",supermario_web,"Have you taken a look at @SableFinance?

- Innovative LSD with low-cap potential 
- $BNB over-collateralized destablecoin 
- $BNB (and $ETH LSD) backed destablecoin $USDS
- 0 borrowing fee
- Sable Rush program with $100K incentive ongoing

#LSD #Defi"
7,yoshi_inweb3,yoshi_inweb3,"Nice thread, think #LSD is in the revolution

Can you help me with @SableFinance? I found this sharing on farming in Sable, don't know if it really works

They allow $BNB and $ETH LSD collaterals to mint $USDS, people can earn massive yields from $USDS"
8,Vasil Petkov,VasilPetkov33,#Airdrop #LSD #Galxe
9,dc_nerd,discord_bot_ARB,"Surely it's time of #LSD

But I rather choose another low-cap to ape in. Could you take a look and make a review of @SableFinance? Found the interesting strategy from this threadoor but don't know how to interact? And yeah, I grabbed some $SABLE"
10,Ayush Dash | Pira Finance  DappGate| Fuelet,dashayush245,#Airdrop #LSD #Galxe
11,TSankara,TSankara8,"Non lo avessi sentito da #Meloni e #Salvini quando la benzina era ampiamente sotto i 2 euro, #crederei che #Urso faccia uso di #Lsd..."
12,SeanUchiha,Mayuri200,#Airdrop #LSD #Galxe
13,dc_nerd,discord_bot_ARB,"Surely it's time of #LSD

But I rather choose another low-cap to ape in. Could you take a look and make a review of @SableFinance? Found the interesting strategy from this threadoor but don't know how to interact? And yeah, I grabbed some $SABLE"
14,Ayush Dash | Pira Finance  DappGate| Fuelet,dashayush245,#Airdrop #LSD #Galxe
15,TSankara,TSankara8,"Non lo avessi sentito da #Meloni e #Salvini quando la benzina era ampiamente sotto i 2 euro, #crederei che #Urso faccia uso di #Lsd..."
16,SeanUchiha,Mayuri200,#Airdrop #LSD #Galxe
17,attorneys,attorneneys,"@JstarCS is perfect example is that people who @stakewise_io dont care about the community. He doesn't even answer :)
@kiriyha1
@tsudmi
#lst #eth #lsd $ldo, $rpl"
18,MineFi,MineFiDAO," With over 20% APY, earn passive income through @MineFIDAO by simply holding and staking your $FIL. Let your $FIL work for you while you enjoy the benefits!
 #FIL #Filecoin #FVM #LSD #DEFI 
￼"
