,nickname,id,twit
0,ShowBye,show_bye,"누가 칼들고 협박해도 이건 진짜 하지마라
차라리 죽는게 나을수도 있다.
#필로폰 #메스암페타민 #아이스 #빙두 #황술 #삥술 #대마초합법화"
1,하이닥,hidoc2010,"""일명 아이스...'메스암페타민' 중독이 인체에 미치는 영향""

하이닥 기사가 궁금하다면? https://hidoc.co.kr/healthstory/news/C0000756459…
#하이닥 #하이닥기사 #마약 #마약근절 #메스암페타민 #필로폰"
2,,,햇살과 산들바람 사이를 거닐며 소소한 곳에서의 쾌적한 순간을 조용히 관찰해요.
3,ShowBye,show_bye,"누가 칼들고 협박해도 이건 진짜 하지마라
차라리 죽는게 나을수도 있다.
#필로폰 #메스암페타민 #아이스 #빙두 #황술 #삥술 #대마초합법화"
4,하이닥,hidoc2010,"""일명 아이스...'메스암페타민' 중독이 인체에 미치는 영향""

하이닥 기사가 궁금하다면? https://hidoc.co.kr/healthstory/news/C0000756459…
#하이닥 #하이닥기사 #마약 #마약근절 #메스암페타민 #필로폰"
5,,,햇살과 산들바람 사이를 거닐며 소소한 곳에서의 쾌적한 순간을 조용히 관찰해요.
6,ShowBye,show_bye,"누가 칼들고 협박해도 이건 진짜 하지마라
차라리 죽는게 나을수도 있다.
#필로폰 #메스암페타민 #아이스 #빙두 #황술 #삥술 #대마초합법화"
7,하이닥,hidoc2010,"""일명 아이스...'메스암페타민' 중독이 인체에 미치는 영향""

하이닥 기사가 궁금하다면? https://hidoc.co.kr/healthstory/news/C0000756459…
#하이닥 #하이닥기사 #마약 #마약근절 #메스암페타민 #필로폰"
8,,,햇살과 산들바람 사이를 거닐며 소소한 곳에서의 쾌적한 순간을 조용히 관찰해요.
9,ShowBye,show_bye,"누가 칼들고 협박해도 이건 진짜 하지마라
차라리 죽는게 나을수도 있다.
#필로폰 #메스암페타민 #아이스 #빙두 #황술 #삥술 #대마초합법화"
10,하이닥,hidoc2010,"""일명 아이스...'메스암페타민' 중독이 인체에 미치는 영향""

하이닥 기사가 궁금하다면? https://hidoc.co.kr/healthstory/news/C0000756459…
#하이닥 #하이닥기사 #마약 #마약근절 #메스암페타민 #필로폰"
11,,,햇살과 산들바람 사이를 거닐며 소소한 곳에서의 쾌적한 순간을 조용히 관찰해요.
12,ShowBye,show_bye,"누가 칼들고 협박해도 이건 진짜 하지마라
차라리 죽는게 나을수도 있다.
#필로폰 #메스암페타민 #아이스 #빙두 #황술 #삥술 #대마초합법화"
13,하이닥,hidoc2010,"""일명 아이스...'메스암페타민' 중독이 인체에 미치는 영향""

하이닥 기사가 궁금하다면? https://hidoc.co.kr/healthstory/news/C0000756459…
#하이닥 #하이닥기사 #마약 #마약근절 #메스암페타민 #필로폰"
14,,,햇살과 산들바람 사이를 거닐며 소소한 곳에서의 쾌적한 순간을 조용히 관찰해요.
