,nickname,id,twit
0,영양군,HOTyyg,"#출구없는미로 #마약
#그_끝은_파멸

시작을 시도 하지 마세요 !

#영양경찰서 에서 알려드립니다

[ 관상용 vs 마약용 ]
#양귀비 쉽게 구분하는 법"
1,오마이뉴스,OhmyNews_Korea,함양군 양귀비 불법재배 9건 적발 #양귀비 https://omn.kr/24rgv 주간함양 곽영군
2,,,KUOSE의 콜렉션으로 옷장의 분위기를 바꿔보세요
3,경북매일,kbmaeil,"영덕  농수로에 대마 자란다 신고 접수 
#영덕 #농수로 #대마 #신고 #영해 #경찰 #재배 #양귀비 #마약 #범죄 #매매"
4,전북경찰청,poljeonbuk,"베테랑 형사가 전원주택에 기습방문한 사연?
.
.
마약류로 분류된 양귀비,
재배만으로도 처벌받을 수 있습니다
.
.
#전북경찰 #경찰 #완주경찰서 #형사2팀 #마약 #양귀비 #앵속 #검거 #단속 #미담사례
https://story.kakao.com/ch/police/G78rNxq31aA…"
5,강다방 이야기공장,kangdbang,"강다방 이야기공장 앞 작은 정원에 양귀비꽃이 피었어요! 관상용 개양귀비이니 안심하고 구경하세요. 양귀비 옆에는 낮에만 피는 꽃 채송화도 있습니다.

#강다방작은정원 #가로수정원 #양귀비꽃 #양귀비 #강릉역놀거리 #강릉역주변가볼만한곳 #강다방이야기공장 #강다방 #강릉여행 #독립출판물"
6,위키트리 WIKITREE,wikitree,"관상용 양귀비와 마약용 양귀비의 차이점은?

https://wikitree.co.kr/articles/863792
#양귀비 #poppy #강원도영월 #구분법 #정보"
7,jungmin kim,jm10141,#경기도 #남양주 #물의정원 #양귀비 #산책 #힐링
8,Junginsung,Junginsung6,"< 유월의 하루 >
Watercolor on paper
45×33cm 

#6월 #양귀비 #삶 #행복 #메멘토모리 #수채화 #유화 #정인성 #그림 #art #artist"
9,김푸름,kimsantadog,"RT @ohmynews_korea 양귀비가 사랑한 '과일의 왕'
#리치 #여지 윤소정 기자

 https://omn.kr/23kht
#양귀비 #역사 #과일"
10,키티!,kittylikeit,#경국지색 #절세가인 #양귀비
11,Eva,dltmdrkq2,"개화 '꽃양귀비' - https://yourusername.tistory.com/m/354
#양귀비 #개화 #울산 #봄꽃축제 #태화강 #양귀비꽃 #개양귀비 #꽃양귀비 #국가정원 #태화강"
12,MarieNara,marian42na,#bugcity #양귀비
13,슬픔,hugmejh,"어제 꽃밭에서 힐링ㅎ
#원주 #양귀비"
14,행복바이러스,UvMWwuxEi0erzCj,"#수채화풍경
#수레국화
#양귀비
#자작나무
#덕소삼패한강공원
#영탁니편이야"
15,KWON OHYOON PHOTO GALLERY,dGOvsgxBsrtoY9T,#양귀비
16,,,#광고  카톡 선물하기에서 핸드크림 쓸모 선물템 고르려다가... 너무 쓸모있는 템 찾아벌임 친구들아 앞으로 니네 선물은 이거다
17,중앙일보,joongangilbo,"경찰은 ""양귀비를 재배하는 것 같다""는 이웃의 신고를 받고 출동했습니다.
#서울 #강남 #양귀비 #압수"
18, かずき ,DamKaz4850,"コスモスの時期とは真逆の時期にあたる初夏の鴻巣市のコスモスアリーナ付近の荒川河川敷、ポピー畑のポピーの海がとても綺麗でした 2023/5/21

#コスモスアリーナふきあげ #鴻巣市 #ポピー畑 #ポピー #poppy #мак #παπαρούνα #gelincik #خشخاش #양귀비"
19,Young Ja Park,fbi00119m,"#부산
#사상구
#양귀비"
20,Downey1,gdreamvie,"#올림픽공원 #들꽃마루 #양귀비
양귀비가 왜 이쁜지 이제 알았다..햇빛받고 풀숲에 둥둥 떠있는 모습이 참 이쁘다."
21,가람,hangaram74,"아는 언니가 최근 진짜 이쁜 빨간 꽃밭에서
사진 찍었던데, 양귀비 꽃밭이었나 ?!

느무 이뿌당, 나도 가고싶엉

#양귀비 #꽃밭"
22,인사이트,insight_co_kr,"옥상·화단에서 '양귀비' 발견해 2번이나 경찰에 신고한 남성

#옥상 #화단 #양귀비 #마약류 #양귀비신고"
23,Discover Korea,DiscoverKorea_,"#Tourists stroll through a field of #poppyflowers in #Hamyang
#함양 #양귀비 #Flowers
https://k-odyssey.com/news/newsview.php?ncode=1065575495947590…"
24,신출귀몰,sinchulgwimol,"강북 #우이천 에서 촬영한 #양귀비꽃
5월에 피는데 벚꽃 개화 시기가 빨라진 만큼 다른 꽃들도 빨리 피네요.
https://m.blog.naver.com/akebosi/223087122892…
.
.
.
#양귀비 #봄꽃 #꽃사진 #예쁜꽃 #플라워 #flower #spring #봄사진 #꽃밭 #화단 #자연 #自然 #nature #서울 #Mohnblumen #ケシの花"
25,경북매일,kbmaeil,"마약사범 급증, 절반이 ‘2030’ 
#마약 #사범 #급증 #대구 #검거 #대검 #향정신성 #의약품 #필로폰 #액스터시 #대마초 #양귀비 #코카인 #모르핀"
26,전옥이,EC3nN2Qw80iXO9M,#국제e스포츠진흥원ckec #양귀비 님의 동영상을 확인해보세요! #TikTok
27,문화일보,Munhwa_inet,"당현종 후궁처럼 아름다워 ‘양귀비’… 아편의 원료로 최면제 등 사용

#양귀비 #꽃 #관상용 #아편 #모르핀 #진통제"
28,오마이뉴스,OhmyNews_Korea,민간요법도 안돼요... 대마·양귀비 등 마약류 재배 단속 #대마 #양귀비 https://omn.kr/23fhg 거제신문 백승태
29,이브아나 8월1일 출근,daejeon_iv,"2022.10.30

FGO 양귀비 3차 최종재림-2

난해한 의상 너무 이쁘게 찍어주셔서 감사드립니다~!

솔님 (@solemoon4)
studio: RZ스튜디오(@rzcosstudio)
more->https://ivanacos.tistory.com/314
#FGO #FATE #양귀비 #최종재림"
30,이브아나 8월1일 출근,daejeon_iv,"2022.10.30

FGO 양귀비 3차 최종재림-1

진~~짜 오랜만에 포스팅
솔님 (@solemoon4)
studio: RZ스튜디오(@rzcosstudio)
more->https://ivanacos.tistory.com/314
#FGO #FATE #양귀비 #최종재림"
31,,,"삼촌의 관심과 귀여움을 받기 위해
종족도 바꿔버리는 조카...
엔네아드https://bit.ly/3QfiH3q?twclid=2-1ar64hfk2doa1v4fsq03jq5ff
#피폐물 #군림수 #모럴리스 #배틀연애"
32,ZamIssue,zamissue,"꽃이 개화하기 전의 양귀비…jpg‥
https://me2.do/G4LHfbzR
#양귀비…jpg‥ #새로운뉴스"
33,뉴스연합,Qjt9bLr5CjXTtlI,"인류의 역사를 바꾼 약, ‘아편’에 대한 모든 것! #양귀비 # 모르핀 # 헤로인 # 아편 # 담배 # 흡연 # 청나라 # 임칙서 # 영국 # 중국 # 홍콩 # 마약  -> 자세히보기https://youthassembly.kr/news/688325"
