,nickname,id,twit
0,인승연,chikimi84,"TLE：KRTP88 오실장입니다!

꼭 아이디로 문의!사칭주의!!!

최고의 제품으로 모시겠습니다!

#시원한술구매,시원한술구매
#히ㄹㅗ뽕,히ㄹㅗ뽕"
1,권경은,ruddms2028,"TLE：KRTP88 오실장입니다!

꼭 아이디로 문의!사칭주의!!!

최고의 제품으로 모시겠습니다!

#떨팔아요,떨팔아요
#히로뽕,히로뽕"
2,김원태,forsnbs1,"TLE：KRTP88 오실장입니다!

꼭 아이디로 문의!사칭주의!!!

최고의 제품으로 모시겠습니다!

#경상도마약,경상도마약
#히로뽕,히로뽕"
3,인승연,chikimi84,"TLE：KRTP88 오실장입니다!

꼭 아이디로 문의!사칭주의!!!

최고의 제품으로 모시겠습니다!

#시원한술구매,시원한술구매
#히ㄹㅗ뽕,히ㄹㅗ뽕"
4,권경은,ruddms2028,"TLE：KRTP88 오실장입니다!

꼭 아이디로 문의!사칭주의!!!

최고의 제품으로 모시겠습니다!

#떨팔아요,떨팔아요
#히로뽕,히로뽕"
5,김원태,forsnbs1,"TLE：KRTP88 오실장입니다!

꼭 아이디로 문의!사칭주의!!!

최고의 제품으로 모시겠습니다!

#경상도마약,경상도마약
#히로뽕,히로뽕"
6,인승연,chikimi84,"TLE：KRTP88 오실장입니다!

꼭 아이디로 문의!사칭주의!!!

최고의 제품으로 모시겠습니다!

#시원한술구매,시원한술구매
#히ㄹㅗ뽕,히ㄹㅗ뽕"
7,권경은,ruddms2028,"TLE：KRTP88 오실장입니다!

꼭 아이디로 문의!사칭주의!!!

최고의 제품으로 모시겠습니다!

#떨팔아요,떨팔아요
#히로뽕,히로뽕"
8,김원태,forsnbs1,"TLE：KRTP88 오실장입니다!

꼭 아이디로 문의!사칭주의!!!

최고의 제품으로 모시겠습니다!

#경상도마약,경상도마약
#히로뽕,히로뽕"
9,인승연,chikimi84,"TLE：KRTP88 오실장입니다!

꼭 아이디로 문의!사칭주의!!!

최고의 제품으로 모시겠습니다!

#시원한술구매,시원한술구매
#히ㄹㅗ뽕,히ㄹㅗ뽕"
10,권경은,ruddms2028,"TLE：KRTP88 오실장입니다!

꼭 아이디로 문의!사칭주의!!!

최고의 제품으로 모시겠습니다!

#떨팔아요,떨팔아요
#히로뽕,히로뽕"
11,김원태,forsnbs1,"TLE：KRTP88 오실장입니다!

꼭 아이디로 문의!사칭주의!!!

최고의 제품으로 모시겠습니다!

#경상도마약,경상도마약
#히로뽕,히로뽕"
12,인승연,chikimi84,"TLE：KRTP88 오실장입니다!

꼭 아이디로 문의!사칭주의!!!

최고의 제품으로 모시겠습니다!

#시원한술구매,시원한술구매
#히ㄹㅗ뽕,히ㄹㅗ뽕"
